ID;Название;Сечение
139433;ADAPTAFLEX  PICH42/BL/25M  трубка гофрированная, цвет - black (упаковка 25м);
139434;ADAPTAFLEX  SPL20/E  защита 20мм, латунь, покрытие - никель, цвет - silver (упаковка 10 шт.);
139435;ADAPTAFLEX  SPL20/M20/M  фитинг прямой 20мм, латунь, покрытие - никель, цвет - silver (упаковка 10 ш;
139436;ADAPTAFLEX  SPL32/M32/M  фитинг прямой 32мм, латунь, покрытие - никель, цвет - silver (упаковка 2 шт;
139437;ADAPTAFLEX  SPLHC20/25M  металлорукав (упаковка 25м);
139438;ADAPTAFLEX  SPLHC32/25M  металлорукав (упаковка 25м);
139439;Damar-Hagen Кабельный разъём BNC, диам.6мм / 0,6 / 3,7 / RG 59;
139440;Damar-Hagen Кабельный разъём BNC угловой, диам.6мм / 0,6 / 3,7 / RG 59;
139441;GLENAIR 10-40556-08G10 Розеточный контакт промышленного разъёма;
139442;GLENAIR 10-40556-15G10 Розеточный контакт промышленного разъёма;
139443;GLENAIR 10-40556-20G10 Розеточный контакт промышленного разъёма;
139444;GLENAIR 10-40556-26G10 Розеточный контакт промышленного разъёма;
139445;GLENAIR 10-40557-08G10 Штыревой контакт промышленного разъёма;
139446;GLENAIR 10-40557-20G10 Штыревой контакт промышленного разъёма;
139447;GLENAIR 10-40557-26G10 Штыревой контакт промышленного разъёма;
139448;GLENAIR 10-40560-38G10 Розеточный контакт промышленного разъёма;
139449;CET-F80-16 Механичекий инструмент Cannon для извлечения  PIN-контактов разм. #16 из пром. разъёма;
139450;CIT-F80-16 Механический инструмент Cannon  для установки PIN-контакта разм. #16 в пром. разъём;
139451;Damar-Hagen Пластиковый гибкий ребристый хвостовик под разъём BNC на кабель диам. 6мм;
139452;226-1017-000 Направляющая для установки контакта PIN в промышленный разъём Cannon;
139453;256-30695-1159 THOMAS-BETTS Медный трубчатый кабельный наконечник ном. счеч. 4 AWG (20-25 мм2) с дву;
139454;Лазерная маркировочная установка FOIL Star 300, оснащённую DPSS -Nd:YAG-лазером DPL Nexus Marker.;
139455;Система очистки воздуха производства TBH LN-230ZA;
139456;PFISTERER 305016401 Соединитель угловой AF01;
139457;PFISTERER 305016402 Соединитель угловой AF02;
139458;PFISTERER 305016403 Соединитель угловой AF03;
139459;PFISTERER 305 017-001 Набор экранов P3 угловой разъем 2-жильный AF01;
139460;PFISTERER 305 017-002  Набор экранов P3 угловой разъем 2-жильный AF02;
139461;PFISTERER 305 017-003 Набор экранов P3 угловой разъем 2-жильный AF03;
139462;PFISTERER 305 017-004 Набор экранов P3 угловой разъем 2-жильный AF04;
139463;PFISTERER 305 017-005 Набор экранов P3 угловой разъем AF05;
139464;PFISTERER 305018008 комплект крепления экрана P3 AF08;
139465;PFISTERER 305018009 комплект крепления экрана P3 AF09;
139466;PFISTERER 305018010 комплект крепления экрана P3 AF10;
139467;PFISTERER 305 018-005 Набор экранов P3 угловой разъем AF05;
139468;PFISTERER 305018001 комплект крепления экрана P3EC1 AF01;
139469;PFISTERER 305018001 комплект крепления экрана P3EC1 AF01;
139470;PFISTERER 305018002 комплект крепления экрана P3EC1 AF02;
139471;PFISTERER 305018002 комплект крепления экрана P3EC1 AF02;
139472;PFISTERER 305018003 комплект крепления экрана P3 AF03;
139473;PFISTERER 305018004 комплект крепления экрана P3 AF04;
139474;PFISTERER 305018005 комплект крепления экрана P3 AF05;
139475;PFISTERER 305018006 комплект крепления экрана P3 AF06;
139476;PFISTERER 305018007 комплект крепления экрана P3 AF07;
139477;PFISTERER 305018101 комплект крепления экрана P2EC1 AF01;
139478;PFISTERER 305018101 комплект крепления экрана P2EC1 AF01;
139479;PFISTERER 305 322-005 Соединитель угловой AF05;
139480;PFISTERER 305 322-006 Соединитель угловой AF06;
139481;PFISTERER 305322005 P3 соединитель угловой AF05, D=20.3мм, 120 мм2, flex;
139482;PFISTERER 305322006 P3 соединитель угловой AF06, D=20.3мм, 120 мм2, flex;
139483;PFISTERER 305 990-001 00205 Штепсельная вилка  AF03;
139484;PFISTERER 305 990-001 00251 Штепсельная вилка  AF04;
139485;PFISTERER  305 990-001 00274 Штепсельная вилка  AF05;
139486;PFISTERER Штепсельная вилка  AF05;
139487;PFISTERER 305990001 VAR.0099 P3EC1 соединитель угловой AF01, 240 мм2;
139488;PFISTERER 305990001 VAR.0099 P3EC1 соединитель угловой AF01, 240 мм2;
139489;PFISTERER 305990001 VAR.0100 P3EC1 соединитель угловой AF02, 240 мм2;
139490;PFISTERER 305990001 VAR.0100 P3EC1 соединитель угловой AF02, 240 мм2;
139491;PFISTERER 305990001 VAR.0267 P2EC1 соединитель угловой AF01, 25 мм2;
139492;PFISTERER 305990001 VAR.0267 P2EC1 соединитель угловой AF01, 25 мм2;
139493;PFISTERER 305990001 VAR.0377 P3 соединитель угловой AF09, 120 мм2, двойной;
139494;PFISTERER 305990001 VAR.0378 P3 соединитель угловой AF10, 120 мм2, двойной;
139495;PFISTERER 305990001 VAR.0488 P3 соединитель угловой AF01, 185 мм2;
139496;PFISTERER 305990001 VAR.0489 P3 соединитель угловой AF02, 185 мм2;
139497;PFISTERER 305990001 VAR.0490 P3 соединитель угловой AF03, 185 мм2;
139498;PFISTERER 305990001 VAR.0491 P3 соединитель угловой AF04, 185 мм2;
139499;PFISTERER 305990001 VAR.0492 P3 соединитель угловой AF05, 185 мм2;
139500;PFISTERER 305990001 VAR.0493 P3 соединитель угловой AF06, 185 мм2;
139501;PFISTERER 305990001 VAR.0494 P3 соединитель угловой AF07, 185 мм2;
139502;PFISTERER 305990001 VAR.0495 P3 соединитель угловой AF08, 185 мм2;
139503;PFISTERER 305990001 VAR.0499 P2 соединитель угловой AF01, 25 мм2;
139504;610308 Высоковольтный ёмкостной указатель напряжения;
139505;KR10-10 Медный трубчатый кабельный наконечник для многопроволочных жил, ном. сеч. 10мм2, под болт М1;
139506;KRF35-10 Медный трубч. кабельный наконечник для многопроволочных жил, ном. сеч. 35мм2, под болт М10;
139507;KRF35-12 Медный трубч. кабельный наконечник для многопроволочных жил, ном. сеч. 35мм2, под болт М12;
139508;KR10-12 Медный трубчатый кабельный наконечник для многопроволочных жил, ном. сеч. 10мм2, под болт М1;
139509;KRFN120-10 Медный трубчатый кабельный наконечник для многопроволочных жил, узкая площадка, ном. сеч.;
139510;KRFN120-12 Медный трубчатый кабельный наконечник для многопроволочных жил, узкая площадка, ном. сеч.;
139511;KRFN150-12 Медный трубчатый кабельный наконечник для многопроволочных жил, узкая площадка, ном. сеч.;
139512;750357 Переносное заземление;
139513;M22520/1-01 MS/CA Ручной механический инструмент Cannon для обжима PIN-контактов;
139514;Ручной инструмент для обжима контактов AF8;
139515;Промышленный соединитель ITT Cannon CIRG06RGG18-1S-F80-T12-M20X1,5F;
139516;Промышленный соединитель ITT Cannon CIRG06RGG18-20S-F80-T12-M20X1,5F;
139517;Инструмент для установки контактов DAK168-16;
139518;Крышка для штекера Inotec Electronics DGA09BP-RC2;
139519;Корпус штекера Inotec Electronics DGA09M11-C103;
139520;Кабельный зажим для штекера Inotec Electronics DKS100;
139521;Инструмент для извлечения  контактов DRK96;
139522;GLENAIR FRITS41030R28-21PB0N12F6 вилка;
139523;GLENAIR FRITS4106R24-07SB0N12F6 розетка;
139524;GLENAIR FRITS4106R28-21SB0N12F6 розетка;
139525;GLENAIR IT-40460-28 Прокладка для промышленного разъёма;
139526;GLENAIR IT-S4102A18-20P штекер;
139527;GLENAIR IT-S4102A28-21P штекер;
139528;GLENAIR IT-S4102R18-1P штекер;
139529;GLENAIR IT-S4102R24-07P штекер;
139530;GLENAIR IT-S4126R28-21S розетка;
139531;GLENAIR IT-SG4106RGG18-1SB1FM20 розетка;
139532;GLENAIR IT-SG4106RGG18-20SB1FM20 штекер;
139533;Комплект : Компрессор маслянный JUN-AIR 18-40, фильтр JUN-AIR DH АС -0003G 4070500, система сбора ко;
139534;Сканер штрих-кода LS2208 черный, кабель RS232, подставка, блок питания (LS2208 Black (with Stand) Se;
139535;Направляющая для установки контакта;
139536;Пресс-клещи CRB 0560 для клеммных наконечников 0.5-6.0 мм2;
139537;TH452 MS/CA Позиционирующая вставка (локатор) в обжимной инструмент Cannon для Pin-контактов;
139538;Установочная вставка  TH712 в обжимной инструмент;
139539;"Комплект : компьютер НР Pro3500, дисплей LCD 21.5&quot;, Zyxel  GS1100-16,  Datacom CAT6, FTP, 5m, серый";
139540;вал ведущий;
139541;Насос;
139542;насос;
139543;фильтр предварительной  очистки 305;
139544;фильтр тонкой очистки;
139545;фильтр с активным углем;
139546;Вал ведущий;
139547;Коробка передач;
139548;Коробка передач;
139549;Вал ведущий;
139550;коробка передач;
139551;сканирующая головка в сборе для FoilStar300;
139552;механизм переключения передач;
139553;Механизм переключения передач;
139554;механизм переключения передач;
139555;насос;
139556;Рукав высокого давления, 2м;
139557;П/муфта к насосу;
139558;П/муфта к инструменту;
139559;Адаптер к манометру;
139560;Манометр, 700 бар, диаметр 63 мм;
139561;Штифт (1 пара);
139562;Штифт (1 пара);
139563;Штифт (1 пара);
139564;Штифт (1 пара);
139565;Штифт (1 пара);
139566;Штифт (1 пара);
139567;Штифт (1 пара);
139568;Штифт (1 пара);
139569;Штифт (1 пара);
139570;Штифт (1 пара);
139571;Штифт (1 пара);
139572;Штифт (1 пара);
139573;Резиновый протектор для SPT 1550;
139574;Коммуник. однослотовая подставка RS232 с возможностью подзаряда аккумулятора;
139575;Лицензия на терминал Rt;
139576;Лицензия на ПО OMNI-L3;
139577;Лента PM-ARO синий (25мм*33м);
139578;Лента PM-ARO красная (25мм*33м);
139579;Лента PM-PBT(красная (25мм*33м);
139580;Терминал сбора данных Symbol SPT 1550 с 8 мб ОЗУ 4 мб ПЗУ;
139581;SW SPT-программа инвентаризации для ТСД Symbol SPT;
139582;Принтер с термотрансферной печатью TLP2844PS;
139583;Намотчик Zebra 90Xill Media Rewind Spindle Kit;
139584;Пластиковый контейнер DMC (AGF-0-10 mm), диаметр (1-2 mm) в упак.4000шт.;
139585;Пластиковый контейнер DMC (AGF-0-15 mm), диаметр (1-2 mm) в упак.2500шт.;
139586;Пластиковый контейнер DMC (AGF-0-30 mm), диаметр (1-2 mm) в упак.500шт.;
139587;Пластиковый контейнер DMC (AGF-1-10 mm), диаметр (1,8-2,5 mm) в упак.4000шт.;
139588;Пластиковый контейнер DMC (AGF-1-15 mm), диаметр (1,8-2,5 mm) в упак.2500шт.;
139589;Пластиковый контейнер DMC (AGF-1-30 mm), диаметр (1,8-2,5 mm) в упак.500шт.;
139590;Пластиковый контейнер DMC (AGF-2-10 mm), диаметр (2-4,1 mm) в упак.4000шт.;
139591;Пластиковый контейнер DMC (AGF-2-15 mm), диаметр (2-4,1 mm) в упак.2500шт.;
139592;Пластиковый контейнер DMC (AGF-2-16мм), диаметр от 1 до 4.1мм. В упаковке 2500шт.;
139593;Пластиковый контейнер DMC (AGF-2-30 mm), диаметр (2-4,1 mm) в упак.500шт.;
139594;"Пластиковый контейнер DMC (AGF-2-50мм), диаметр от 1 до 4.1мм. В упаковке 300шт.&quot;";
139595;Пластиковый контейнер DMC (AGF-3-10 mm), диаметр (4-6,8 mm) в упак.3000шт.;
139596;Пластиковый контейнер DMC (AGF-3-15 mm), диаметр (4-6,8 mm) в упак.1500шт.;
139597;"Пластиковый контейнер DMC (AGF-3-16мм), диаметр от 4 до 6.8мм. В упаковке 1000шт.&quot;";
139598;Пластиковый контейнер DMC (AGF-3-30 mm), диаметр (4-6,8 mm) в упак.300шт.;
139599;"Пластиковый контейнер DMC (AGF-3-50мм), диаметр от 4 до 6.8мм. В упаковке 200шт.&quot;";
139600;Пластиковый контейнер DMC (AGF-4-10 mm), диаметр (6-9,5 mm) в упак.750шт.;
139601;Пластиковый контейнер DMC (AGF-4-15 mm), диаметр (6-9,5 mm) в упак.500шт.;
139602;"Пластиковый контейнер DMC (AGF-4-16мм), диаметр от 6 до 9.5мм. В упаковке 500шт.&quot;";
139603;Пластиковый контейнер DMC (AGF-4-30 mm), диаметр (6-9,5 mm) в упак.300шт.;
139604;"Пластиковый контейнер DMC (AGF-4-50мм), диаметр от 6 до 9.5мм. В упаковке 150шт.&quot;";
139605;Пластиковый контейнер DMC (AGF-5-10 mm), диаметр (9,6-13,5 mm) в упак.300шт.;
139606;Пластиковый контейнер DMC (AGF-5-15 mm), диаметр (9,6-13,5 mm) в упак.400шт.;
139607;"Пластиковый контейнер DMC (AGF-5-16мм), диаметр от 9.6 до 13.5мм. В упаковке 400шт.&quot;";
139608;Пластиковый контейнер DMC (AGF-5-30 mm), диаметр (9,6-13,5 mm) в упак.200шт.;
139609;"Пластиковый контейнер DMC (AGF-5-50мм), диаметрот 9.6 до 13.5мм. В упаковке 150шт.&quot;";
139610;Пластиковый контейнер DMC (AGF-6-15 mm), диаметр (13,6-21,5 mm) в упак.150шт.;
139611;"Пластиковый контейнер DMC (AGF-6-16мм), диаметр от 13.6 до 21.5мм. В упаковке 150шт.&quot;";
139612;Пластиковый контейнер DMC (AGF-6-30 mm), диаметр (13,6-21,5 mm) в упак.50шт.;
139613;"Пластиковый контейнер DMC (AGF-6-50мм), диаметр от 13.6 до 21.5мм. В упаковке 25шт.&quot;";
139614;Пластиковый контейнер DMC (AGF-0-10 mm), диаметр (1-2 mm) в упак.4000шт.;
139615;Пластиковый контейнер DMC (AGF-0-15 mm), диаметр (1-2 mm) в упак.2500шт.;
139616;Пластиковый контейнер DMC (AGF-0-16 mm), диаметр (1-2 mm) в упак.2500шт.;
139617;Пластиковый контейнер DMC (AGF-0-30 mm), диаметр (1-2 mm) в упак.500шт.;
139618;Пластиковый контейнер DMC (AGF-1-10 mm), диаметр (1,8-2,5 mm) в упак.4000шт.;
